player_hand,dealer_card,has_usable_ace,action,value
15,2,True,HIT,0.047
13,9,True,STICK,-0.163
13,9,True,HIT,-0.051
20,10,True,STICK,0.474
20,10,True,HIT,0.010
21,9,False,STICK,0.936
21,9,False,HIT,0.000
21,2,False,STICK,0.889
21,2,False,HIT,0.000
14,6,True,STICK,-0.107
14,6,True,HIT,-0.008
17,1,False,STICK,-0.586
17,1,False,HIT,-0.779
12,9,True,STICK,-0.030
12,9,True,HIT,0.115
13,3,True,STICK,-0.133
13,3,True,HIT,-0.105
18,6,True,STICK,0.173
18,6,True,HIT,0.000
16,6,False,STICK,-0.110
16,6,False,HIT,-0.346
19,4,True,STICK,0.432
19,4,True,HIT,0.000
7,7,False,STICK,-0.217
7,7,False,HIT,-0.010
14,3,True,STICK,-0.103
14,3,True,HIT,-0.021
10,5,False,STICK,-0.021
10,5,False,HIT,0.242
5,4,False,STICK,-0.103
5,4,False,HIT,-0.115
6,5,False,STICK,-0.131
6,5,False,HIT,-0.148
4,3,False,STICK,-0.118
4,3,False,HIT,-0.024
7,1,False,STICK,-0.600
7,1,False,HIT,-0.418
17,7,True,STICK,-0.156
17,7,True,HIT,-0.148
18,3,False,STICK,0.073
18,3,False,HIT,-0.030
4,8,False,STICK,-0.177
4,8,False,HIT,-0.174
5,10,False,STICK,-0.514
5,10,False,HIT,-0.364
9,6,False,STICK,-0.010
9,6,False,HIT,0.229
14,1,True,STICK,-0.433
14,1,True,HIT,-0.309
21,6,False,STICK,0.868
21,6,False,HIT,0.000
4,9,False,STICK,-0.292
4,9,False,HIT,-0.201
18,7,False,STICK,0.412
18,7,False,HIT,-0.010
17,4,True,STICK,-0.094
17,4,True,HIT,0.048
18,5,True,STICK,0.221
18,5,True,HIT,-0.010
17,3,True,STICK,-0.148
17,3,True,HIT,-0.022
8,1,False,STICK,-0.540
8,1,False,HIT,-0.492
15,5,True,STICK,-0.131
15,5,True,HIT,0.028
14,7,True,STICK,-0.213
14,7,True,HIT,0.066
18,4,True,STICK,-0.032
18,4,True,HIT,0.034
21,5,False,STICK,0.902
21,5,False,HIT,0.000
21,2,True,STICK,0.856
21,2,True,HIT,0.000
5,5,False,STICK,-0.104
5,5,False,HIT,-0.150
21,7,False,STICK,0.918
21,7,False,HIT,0.000
6,8,False,STICK,-0.386
6,8,False,HIT,-0.245
7,9,False,STICK,-0.417
7,9,False,HIT,-0.321
20,8,True,STICK,0.788
20,8,True,HIT,0.000
5,6,False,STICK,-0.038
5,6,False,HIT,-0.077
16,4,True,STICK,-0.106
16,4,True,HIT,-0.077
6,6,False,STICK,-0.200
6,6,False,HIT,-0.187
18,8,True,STICK,0.186
18,8,True,HIT,-0.079
18,7,True,STICK,0.471
18,7,True,HIT,-0.020
14,4,True,STICK,-0.058
14,4,True,HIT,0.057
16,2,True,STICK,-0.135
16,2,True,HIT,0.044
7,8,False,STICK,-0.336
7,8,False,HIT,-0.204
15,4,True,STICK,-0.049
15,4,True,HIT,0.105
7,2,False,STICK,-0.312
7,2,False,HIT,-0.310
5,9,False,STICK,-0.306
5,9,False,HIT,-0.239
13,6,True,STICK,-0.029
13,6,True,HIT,0.028
21,4,False,STICK,0.870
21,4,False,HIT,0.000
15,6,True,STICK,-0.010
15,6,True,HIT,0.091
17,6,True,STICK,-0.079
17,6,True,HIT,-0.077
8,7,False,STICK,-0.121
8,7,False,HIT,-0.039
9,3,False,STICK,-0.066
9,3,False,HIT,0.108
19,6,True,STICK,0.466
19,6,True,HIT,-0.010
17,9,True,STICK,-0.241
17,9,True,HIT,-0.071
17,5,True,STICK,-0.103
17,5,True,HIT,0.153
16,9,True,STICK,-0.349
16,9,True,HIT,-0.193
14,5,True,STICK,-0.053
14,5,True,HIT,0.059
13,5,True,STICK,-0.039
13,5,True,HIT,0.034
8,8,False,STICK,-0.233
8,8,False,HIT,-0.024
10,3,False,STICK,-0.020
10,3,False,HIT,0.155
19,9,True,STICK,0.185
19,9,True,HIT,0.000
21,8,False,STICK,0.942
21,8,False,HIT,0.000
7,4,False,STICK,-0.151
7,4,False,HIT,-0.152
4,7,False,STICK,-0.241
4,7,False,HIT,-0.096
15,1,True,STICK,-0.487
15,1,True,HIT,-0.487
16,3,True,STICK,-0.193
16,3,True,HIT,0.053
6,1,False,STICK,-0.553
6,1,False,HIT,-0.457
12,1,True,STICK,-0.232
12,1,True,HIT,-0.171
17,8,True,STICK,-0.180
17,8,True,HIT,-0.151
5,3,False,STICK,-0.225
5,3,False,HIT,-0.198
14,8,True,STICK,-0.111
14,8,True,HIT,-0.052
20,2,True,STICK,0.775
20,2,True,HIT,-0.010
5,7,False,STICK,-0.273
5,7,False,HIT,-0.050
20,3,True,STICK,0.680
20,3,True,HIT,0.000
13,4,True,STICK,-0.088
13,4,True,HIT,0.044
12,2,True,STICK,-0.049
12,2,True,HIT,0.038
16,8,True,STICK,-0.224
16,8,True,HIT,-0.134
8,6,False,STICK,-0.020
8,6,False,HIT,0.083
15,8,True,STICK,-0.182
15,8,True,HIT,-0.039
18,2,True,STICK,-0.003
18,2,True,HIT,0.010
20,7,True,STICK,-0.010
20,7,True,HIT,0.264
12,4,True,STICK,-0.082
12,4,True,HIT,-0.142
13,2,True,STICK,-0.117
13,2,True,HIT,-0.125
14,9,True,STICK,-0.167
14,9,True,HIT,-0.204
18,9,True,STICK,-0.139
18,9,True,HIT,-0.226
20,6,True,STICK,0.655
20,6,True,HIT,-0.000
8,5,False,STICK,-0.132
8,5,False,HIT,0.002
15,9,True,STICK,-0.242
15,9,True,HIT,-0.179
13,8,True,STICK,-0.116
13,8,True,HIT,-0.041
12,7,True,STICK,-0.077
12,7,True,HIT,0.083
4,2,False,STICK,-0.152
4,2,False,HIT,-0.190
4,5,False,STICK,-0.134
4,5,False,HIT,-0.125
